Trade Date,Account,Market Sentiment,Daily_PnL,Total_Trades,Average_Trade_Size,Winning_Trades,Long_Trades,Short_Trades,Win Rate (%),Long/Short Ratio,Cluster
2024-01-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,-369.2447299999998,45,9211.531777777778,11,27,18,24.444444444444443,1.5,1
2024-01-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,-2808.353815,68,14192.42044117647,10,41,27,14.705882352941178,1.5185185185185186,1
2024-01-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,-3093.6293849999997,6,11094.355000000001,0,6,0,0.0,,1
2024-01-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,90.2,2,4627.9,1,2,0,50.0,,0
2024-01-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,0.0,3,839.1366666666667,0,3,0,0.0,,1
2024-01-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,-2478.06972,11,1646.2754545454545,0,11,0,0.0,,1
2024-01-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,1.71544,2,1034.4299999999998,1,2,0,50.0,,0
2024-01-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,484.847102,72,5724.157222222222,44,44,28,61.111111111111114,1.5714285714285714,0
2024-01-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-173.65419100000003,49,8183.905714285715,5,19,30,10.204081632653061,0.6333333333333333,1
2024-01-31,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-799.840817,859,7340.683504074505,231,408,453,26.891734575087312,0.9006622516556292,0
2024-02-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,6,334.69666666666666,0,6,0,0.0,,1
2024-02-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,456.423473,42,11292.343571428572,13,28,14,30.952380952380953,2.0,1
2024-02-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,223.30918699999998,56,10782.5,6,18,38,10.714285714285714,0.47368421052631576,1
2024-02-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,47.62389499999999,35,5805.358,9,23,12,25.71428571428571,1.9166666666666667,1
2024-02-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-33.45419400000003,72,10697.198055555556,14,47,25,19.444444444444446,1.88,1
2024-02-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-215.615907,1088,7396.280707720588,179,541,564,16.452205882352942,0.9592198581560284,0
2024-02-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,241.24212,15,450.582,2,5,10,13.333333333333334,0.5,1
2024-02-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,770.756024,10,2605.112,4,4,6,40.0,0.6666666666666666,1
2024-02-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,983.443176,34,6244.465294117647,7,22,12,20.588235294117645,1.8333333333333333,1
2024-02-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,913.8817869999998,16,14202.981249999999,6,4,12,37.5,0.3333333333333333,1
2024-02-13,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,559.44389,14,142.85642857142858,14,14,0,100.0,,0
2024-02-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,3639.3031690000003,88,2478.8488636363636,79,63,25,89.77272727272727,2.52,0
2024-02-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,191.29666400000002,23,4465.268695652174,4,11,12,17.391304347826086,0.9166666666666666,1
2024-02-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,1024.70728,52,1469.9592307692308,49,0,52,94.23076923076923,0.0,0
2024-02-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,816.0903969999999,11,9886.378181818181,8,8,3,72.72727272727273,2.6666666666666665,0
2024-02-16,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,5491.768834,170,2730.2580588235296,146,51,119,85.88235294117646,0.42857142857142855,0
2024-02-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,12,8396.053333333333,0,10,2,0.0,5.0,1
2024-02-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1670.012358,64,3161.86234375,54,45,19,84.375,2.3684210526315788,0
2024-02-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,259.62944200000004,30,6791.962666666667,7,24,6,23.333333333333332,4.0,1
2024-02-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,477.6248299999999,97,1619.0532989690723,61,82,15,62.88659793814433,5.466666666666667,0
2024-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,4325.827543,95,2488.1485263157892,76,51,45,80.0,1.1333333333333333,0
2024-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,-8.05898,6,8333.848333333333,1,6,0,16.666666666666664,,1
2024-02-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,3053.31353,35,3363.1262857142856,27,25,10,77.14285714285715,2.5,0
2024-02-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,210.315294,4,427.575,4,4,0,100.0,,0
2024-02-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1858.7985700000002,21,4668.662857142857,15,21,0,71.42857142857143,,0
2024-02-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,0.0,1,10005.6,0,1,0,0.0,,1
2024-02-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,3894.1050699999996,86,4279.456162790698,40,86,2,46.51162790697674,43.0,0
2024-02-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,2,2500.32,0,2,0,0.0,,1
2024-02-23,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1418.55293,143,776.966013986014,137,11,132,95.8041958041958,0.08333333333333333,0
2024-02-25,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,-30.7705,5,896.0260000000001,0,0,5,0.0,0.0,1
2024-02-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,4416.8473,37,5180.734324324325,34,9,28,91.8918918918919,0.32142857142857145,0
2024-02-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,2,249.98499999999999,0,0,2,0.0,0.0,1
2024-02-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,312.130593,55,3759.7450909090912,19,16,39,34.54545454545455,0.41025641025641024,1
2024-02-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,576.38114,8,322.04,7,7,1,87.5,7.0,0
2024-02-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,2503.747235,45,3802.380666666667,39,12,33,86.66666666666667,0.36363636363636365,0
